CASE_ENQUIRY_ID,OPEN_DT,CLOSED_DT,CASE_STATUS,CLOSURE_REASON,Duplicate,TYPE,QUEUE,Department,Location,fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,LOCATION_STREET_NAME,LOCATION_ZIPCODE,LATITUDE,LONGITUDE,Source,42.3594,-71.0587,
1.01001E+11,3/11/14 10:01,3/12/14 7:25,Closed,Case Closed Case Resolved made safe,,Request for Pothole Repair,PWDx_District 07: South Dorchester,PWDx,0 Adams St  Dorchester  MA  02124,8,7,3,C11,Dorchester,7,Ward 16,1608,0 Adams St,2124,42.3594,-71.0587,City Worker App,TRUE,TRUE,TRUE
1.01001E+11,3/14/14 10:24,3/14/14 10:24,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 07: South Dorchester,PWDx,0 Adams St  Dorchester  MA  02124,8,7,3,C11,Dorchester,7,Ward 17,1713,0 Adams St,2124,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,3/20/14 13:08,3/20/14 13:08,Closed,Case Closed Case Resolved Marked completed at case creation,,Request for Pothole Repair,PWDx_District 07: South Dorchester,PWDx,0 Alabama St  Mattapan  MA  02126,8,7,5,B3,Greater Mattapan,9,Ward 18,1821,0 Alabama St,2126,42.3594,-71.0587,City Worker App,TRUE,TRUE,TRUE
1.01001E+11,3/18/14 11:54,3/19/14 15:04,Closed,Case Closed Case Resolved Sinkhole cut out and backfilled  District 1 notified to pave.,,Request for Pothole Repair,PWDx_Highway Construction,PWDx,0 Albany St  Boston  MA  02111,4,1C,2,A1,Downtown / Financial District,4,Ward 3,308,0 Albany St,2111,42.3594,-71.0587,City Worker App,TRUE,TRUE,TRUE
1.01001E+11,1/16/14 5:00,1/16/14 18:38,Closed,Case Closed Case Resolved did 12 potholes,,Request for Pothole Repair,PWDx_District 1A: Charlestown,PWDx,0 Alford St  Charlestown  MA  02129,3,1A,1,A15,Charlestown,2,Ward 2,207,0 Alford St,2129,42.3594,-71.0587,Self Service,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:30,6/30/14 15:30,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:30,6/30/14 15:30,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
1.01001E+11,6/30/14 15:31,6/30/14 15:31,Closed,Case Closed Internal Case Performed by Highway Maintenance crew.,,Pothole Repair (Internal),PWDx_District 02: Jamaica Plain,PWDx,0 Allandale St  Jamaica Plain  MA  02130,9,2,6,E13,Jamaica Plain,11,Ward 19,1902,0 Allandale St,2130,42.3594,-71.0587,Employee Generated,TRUE,TRUE,TRUE
